id,title,release_date,vote_average,vote_count,popularity
1007757,Swapped,2026-05-01,8.978,713,439.3294
278,The Shawshank Redemption,1994-09-23,8.72,30305,54.5658
238,The Godfather,1972-03-14,8.686,22872,43.4483
157336,Interstellar,2014-11-05,8.472,39644,66.2538
1630423,My Dearest Assassin,2026-05-06,8.456,102,222.8938
687163,Project Hail Mary,2026-03-15,8.432,2700,369.2965
1330021,Remarkably Bright Creatures,2026-05-07,8.4,148,141.8722
27205,Inception,2010-07-15,8.372,39161,42.8176
603,The Matrix,1999-03-31,8.244,27802,45.6548
299536,Avengers: Infinity War,2018-04-25,8.234,31892,48.5377
78192,Michael Jackson: The Life of an Icon,2011-11-02,8.051,157,56.9847
1297842,GOAT,2026-02-11,8.02,550,116.8097
803796,KPop Demon Hunters,2025-06-20,8.019,2727,36.9036
24428,The Avengers,2012-04-25,8.019,37735,51.2014
1327819,Hoppers,2026-03-04,7.951,966,154.6615
911430,F1,2025-06-25,7.758,3863,41.5014
1010581,My Fault,2023-06-08,7.742,4052,42.6
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,7.701,824,94.0577
1242898,Predator: Badlands,2025-11-05,7.698,2794,81.8493
1084242,Zootopia 2,2025-11-26,7.624,2717,93.8295
1579,Apocalypto,2006-12-07,7.61,6261,68.0144
936075,Michael,2026-04-22,7.542,664,159.5523
1266127,Ready or Not 2: Here I Come,2026-03-19,7.509,620,179.0672
